"year","county","crop_name","harv_ac"
2020,"Christian","Soybeans",178900
2018,"Christian","Soybeans",186200
2017,"Christian","Soybeans",182000
2016,"Christian","Soybeans",165500
2015,"Christian","Soybeans",169900
2021,"Clark","Soybeans",97700
2020,"Clark","Soybeans",93900
2018,"Clark","Soybeans",96600
2017,"Clark","Soybeans",103000
2015,"Clark","Soybeans",96800
2021,"Clay","Soybeans",104000
2020,"Clay","Soybeans",109300
2019,"Clay","Soybeans",104000
2018,"Clay","Soybeans",113700
2017,"Clay","Soybeans",111000
2016,"Clay","Soybeans",118300
2015,"Clay","Soybeans",91700
2021,"Clinton","Soybeans",106700
2020,"Clinton","Soybeans",104500
2019,"Clinton","Soybeans",108600
2018,"Clinton","Soybeans",106400
2017,"Clinton","Soybeans",110800
2016,"Clinton","Soybeans",101200
2015,"Clinton","Soybeans",89000
2020,"Coles","Soybeans",117500
2019,"Coles","Soybeans",116900
2018,"Coles","Soybeans",117700
2017,"Coles","Soybeans",117000
2016,"Coles","Soybeans",116700
2015,"Coles","Soybeans",114900
2021,"Cook","Soybeans",5650
2021,"Crawford","Soybeans",90700
2020,"Crawford","Soybeans",92500
2019,"Crawford","Soybeans",93400
2018,"Crawford","Soybeans",94700
2017,"Crawford","Soybeans",91100
2016,"Crawford","Soybeans",97300
2015,"Crawford","Soybeans",87400
2020,"Cumberland","Soybeans",75700
2019,"Cumberland","Soybeans",71600
2018,"Cumberland","Soybeans",77300
2017,"Cumberland","Soybeans",74200
2016,"Cumberland","Soybeans",73200
2015,"Cumberland","Soybeans",68500
2021,"DeKalb","Soybeans",124900
2020,"DeKalb","Soybeans",113000
2019,"DeKalb","Soybeans",115400
2018,"DeKalb","Soybeans",115200
2017,"DeKalb","Soybeans",125200
2016,"DeKalb","Soybeans",118400
2015,"DeKalb","Soybeans",113400
2021,"DeWitt","Soybeans",103700
2020,"DeWitt","Soybeans",101500
2018,"DeWitt","Soybeans",99300
2017,"DeWitt","Soybeans",98900
2016,"DeWitt","Soybeans",94900
2015,"DeWitt","Soybeans",96300
2020,"Douglas","Soybeans",113500
2019,"Douglas","Soybeans",107500
2018,"Douglas","Soybeans",111700
2017,"Douglas","Soybeans",113000
2016,"Douglas","Soybeans",109300
2015,"Douglas","Soybeans",107900
2021,"Edgar","Soybeans",157200
2020,"Edgar","Soybeans",159800
2019,"Edgar","Soybeans",156500
2018,"Edgar","Soybeans",161000
2017,"Edgar","Soybeans",166900
2016,"Edgar","Soybeans",155000
2015,"Edgar","Soybeans",160900
2021,"Edwards","Soybeans",50000
2020,"Edwards","Soybeans",50400
2018,"Edwards","Soybeans",49900
2017,"Edwards","Soybeans",47600
2016,"Edwards","Soybeans",47500
2021,"Effingham","Soybeans",94600
2020,"Effingham","Soybeans",96900
2019,"Effingham","Soybeans",97500
2018,"Effingham","Soybeans",98500
2017,"Effingham","Soybeans",101500
2016,"Effingham","Soybeans",100100
2015,"Effingham","Soybeans",92900
2021,"Fayette","Soybeans",148400
2020,"Fayette","Soybeans",146900
2019,"Fayette","Soybeans",149000
2018,"Fayette","Soybeans",151500
2017,"Fayette","Soybeans",150800
2016,"Fayette","Soybeans",144000
2015,"Fayette","Soybeans",137200
2021,"Ford","Soybeans",134300
2020,"Ford","Soybeans",133900
2019,"Ford","Soybeans",132800
2018,"Ford","Soybeans",130400
2017,"Ford","Soybeans",132500
2016,"Ford","Soybeans",130000
2015,"Ford","Soybeans",134300
2021,"Franklin","Soybeans",81600
2020,"Franklin","Soybeans",80600
2019,"Franklin","Soybeans",79800
2018,"Franklin","Soybeans",85700
2017,"Franklin","Soybeans",84100
2016,"Franklin","Soybeans",85000
2015,"Franklin","Soybeans",69000
2021,"Fulton","Soybeans",127000
2020,"Fulton","Soybeans",125400
2019,"Fulton","Soybeans",119000
2018,"Fulton","Soybeans",124800
2017,"Fulton","Soybeans",119700
2016,"Fulton","Soybeans",110000
2015,"Fulton","Soybeans",104600
2021,"Gallatin","Soybeans",73500
2020,"Gallatin","Soybeans",70700
2019,"Gallatin","Soybeans",63200
2018,"Gallatin","Soybeans",76300
2017,"Gallatin","Soybeans",84200
2016,"Gallatin","Soybeans",76600
2015,"Gallatin","Soybeans",71300
2020,"Greene","Soybeans",103500
2019,"Greene","Soybeans",95600
2018,"Greene","Soybeans",104000
2017,"Greene","Soybeans",99300
2016,"Greene","Soybeans",96300
2015,"Greene","Soybeans",91500
2021,"Grundy","Soybeans",89000
2020,"Grundy","Soybeans",90800
2019,"Grundy","Soybeans",81600
2018,"Grundy","Soybeans",90700
2017,"Grundy","Soybeans",95700
2016,"Grundy","Soybeans",93400
2015,"Grundy","Soybeans",88500
2020,"Hamilton","Soybeans",94700
2018,"Hamilton","Soybeans",94300
2017,"Hamilton","Soybeans",100300
2016,"Hamilton","Soybeans",108700
2021,"Hancock","Soybeans",157600
2020,"Hancock","Soybeans",154800
2018,"Hancock","Soybeans",147500
2017,"Hancock","Soybeans",157100
2016,"Hancock","Soybeans",144000
2015,"Hancock","Soybeans",146900
2021,"Hardin","Soybeans",7370
2020,"Hardin","Soybeans",5750
2019,"Hardin","Soybeans",3300
2018,"Hardin","Soybeans",5800
2016,"Hardin","Soybeans",6000
2015,"Hardin","Soybeans",6100
2021,"Henderson","Soybeans",60400
2020,"Henderson","Soybeans",54100
2018,"Henderson","Soybeans",57500
2017,"Henderson","Soybeans",60500
2016,"Henderson","Soybeans",56000
2015,"Henderson","Soybeans",59800
2021,"Henry","Soybeans",171500
2020,"Henry","Soybeans",170300
2019,"Henry","Soybeans",149500
2018,"Henry","Soybeans",169300
2017,"Henry","Soybeans",176500
2016,"Henry","Soybeans",169800
2015,"Henry","Soybeans",173900
2021,"Iroquois","Soybeans",288500
2020,"Iroquois","Soybeans",289500
2019,"Iroquois","Soybeans",273500
2018,"Iroquois","Soybeans",289500
2017,"Iroquois","Soybeans",289000
