"full_run_name","site_name","region_name","management_name","climate_scenario","crop_system_name","crop_name","Year","Grain.C.kgC.ha.","Leaf.C.kgC.ha.","Stem.C.kgC.ha.","Root.C.kgC.ha."
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2019,520.84349,711.839759,727.314536,824.289807
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2019,506.969889,1009.837822,1009.837822,1407.876565
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2019,1458.587477,995.07105,995.07105,1387.358675
"v_1__CA__grape-a__nt-lc__rcp26","v_1","CA","nt-lc","rcp26","grape-a","faba_bean",2019,508.072564,1014.099506,1014.099506,1413.81804
"v_1__CA__grape-a__nt-lc__rcp60","v_1","CA","nt-lc","rcp60","grape-a","faba_bean",2019,1453.475151,1012.169155,1012.169155,1411.197379
"v_1__CA__grape-a__rt-lc__rcp26","v_1","CA","rt-lc","rcp26","grape-a","faba_bean",2019,506.393311,1011.365324,1011.365324,1410.00615
"v_1__CA__grape-a__rt-lc__rcp60","v_1","CA","rt-lc","rcp60","grape-a","faba_bean",2019,1458.544693,999.340507,999.340507,1393.311283
"v_1__CA__grape-c__cn__rcp26","v_1","CA","cn","rcp26","grape-c","grape",2019,291.824138,125.058131,107.718857,146.038643
"v_1__CA__grape-c__cn__rcp60","v_1","CA","cn","rcp60","grape-c","grape",2019,289.794643,104.157207,98.168428,145.029608
"v_1__CA__grape-c__rn__rcp26","v_1","CA","rn","rcp26","grape-c","grape",2019,255.625899,107.71853,107.71853,146.038643
"v_1__CA__grape-c__rn__rcp60","v_1","CA","rn","rcp60","grape-c","grape",2019,265.951002,95.859717,95.859717,145.029097
"v_1__CA__grape-a__ct-bc__rcp26","v_1","CA","ct-bc","rcp26","grape-a","barley",2020,1551.217771,252.870432,258.367615,292.80199
"v_1__CA__grape-a__ct-bc__rcp60","v_1","CA","ct-bc","rcp60","grape-a","barley",2020,891.607749,729.488102,745.346539,844.726077
"v_1__CA__grape-a__nt-bc__rcp26","v_1","CA","nt-bc","rcp26","grape-a","barley",2020,1009.978645,338.593376,345.954101,392.06171
"v_1__CA__grape-a__nt-bc__rcp60","v_1","CA","nt-bc","rcp60","grape-a","barley",2020,430.305152,727.097124,742.903584,841.957395
"v_1__CA__grape-a__rt-bc__rcp26","v_1","CA","rt-bc","rcp26","grape-a","barley",2020,1068.898715,307.910463,314.604169,356.533564
"v_1__CA__grape-a__rt-bc__rcp60","v_1","CA","rt-bc","rcp60","grape-a","barley",2020,430.624147,744.859236,761.051828,862.525406
"v_1__CA__grape-a__ct-lc__rcp26","v_1","CA","ct-lc","rcp26","grape-a","faba_bean",2020,367.4726,791.928048,791.928048,1104.130451
"v_1__CA__grape-a__ct-lc__rcp60","v_1","CA","ct-lc","rcp60","grape-a","faba_bean",2020,719.871154,510.407268,510.407268,711.625517
"v_1__CA__grape-a__nt-lc__rcp26","v_1","CA","nt-lc","rcp26","grape-a","faba_bean",2020,371.660503,801.70637,801.70637,1117.763688
"v_1__CA__grape-a__nt-lc__rcp60","v_1","CA","nt-lc","rcp60","grape-a","faba_bean",2020,746.504887,518.291473,518.291473,722.617919
"v_1__CA__grape-a__rt-lc__rcp26","v_1","CA","rt-lc","rcp26","grape-a","faba_bean",2020,366.932954,788.038185,788.038185,1098.707084
"v_1__CA__grape-a__rt-lc__rcp60","v_1","CA","rt-lc","rcp60","grape-a","faba_bean",2020,714.888265,493.796794,493.796794,688.466685
