"state","county","fips","year","crop_name","cdl_crop_id","eval.acres","ct.acres","cc.acres","nt.acres","rt.acres","NS","perc_ct","perc_cc","perc_nt","perc_rt","perc_eval"
"IL","Schuyler",17169,2020,"Corn",1,52098.5656967444,1541.8639644673,2604.64826239306,36095.3736150715,13644.2489658679,"N",2.95951326845002,4.99946251410108,69.2828547817912,26.1892986561058,85.55
"IL","Schuyler",17169,2020,"Soybeans",5,49666.4642241651,905.078548662345,1400.78873503904,28972.3915587696,19649.659030788,"N",1.82231323046745,2.8203914994164,58.3339120497995,39.5632331347386,83.61
"IL","Schuyler",17169,2021,"Corn",1,51401.8364343905,9414.54256377611,4711.11724802405,25452.0352208923,16485.990906059,"N",18.3155762845027,9.16527029931574,49.5158091353008,32.072766363322,86.1
"IL","Schuyler",17169,2021,"Soybeans",5,50004.1398765296,1811.7028820537,5381.61157455629,23625.0259125028,24525.7012786091,"N",3.62310577989575,10.762332054595,47.2461399612868,49.0473415584551,82.38
"IL","Scott",17171,2015,"Corn",1,50059.4690866034,3858.45127388272,2690.97426608706,29193.8730964435,16895.535284695,"N",7.70773510843185,5.37555494532243,58.3183833730593,33.7509278323858,97.96
"IL","Scott",17171,2015,"Soybeans",5,39979.8428378544,2183.37734702429,2460.53904847681,24958.7212863108,12827.6345785147,"N",5.46119542260178,6.15444902686581,62.4282626310851,32.0852551385445,91.7
"IL","Scott",17171,2016,"Corn",1,52948.3993514065,1776.22891586108,1078.92095566705,6696.54089360982,42789.7711030153,"N",3.35464138221186,2.03768379947899,12.647296189572,80.8140975500115,96.27
"IL","Scott",17171,2016,"Soybeans",5,38076.6711396201,604.636746545124,1364.00571346604,12604.6343467462,23931.3229002528,"N",1.58794539661315,3.58226092944019,33.1032991317107,62.8503547815435,92.64
"IL","Scott",17171,2017,"Corn",1,45723.9303402036,10120.3384165398,2702.63678117981,19469.5309318107,15831.4474298433,"N",22.133570629735,5.91077092688917,42.5806154172441,34.6239864159779,97.08
"IL","Scott",17171,2017,"Soybeans",5,45503.5356784537,2217.57306188158,3739.55510239142,21553.671182887,21412.0043538802,"N",4.87340825018927,8.2181638121851,47.3670251366705,47.0556936612268,94.41
"IL","Scott",17171,2018,"Corn",1,46285.7837533964,19950.2409822155,5213.80335744387,16734.5062827787,9576.63544600479,"N",43.1023078025584,11.2643730637083,36.1547432618568,20.6902307132307,NA
"IL","Scott",17171,2018,"Soybeans",5,44866.8908581615,6770.67081586556,4321.32597741413,21521.595429903,16445.9716738427,"N",15.0905727728489,9.63143622114404,47.9676550308324,36.6550285952143,NA
"IL","Scott",17171,2019,"Corn",1,44325.1504701787,5941.66056538681,5575.22821004907,27216.4614480637,11115.7036424724,"N",13.4047160638163,12.5780243290996,61.4018478434146,25.0776444627094,NA
"IL","Scott",17171,2019,"Soybeans",5,40983.8579932327,3941.66595391905,4053.6494074031,26009.1093242196,10975.8845046497,"N",9.6176059232147,9.89084387339143,63.4618374105099,26.7809938890137,NA
"IL","Scott",17171,2020,"Corn",1,48741.0958710312,10462.0565605712,2390.58435248029,21106.6415478625,17093.6611026011,"N",21.4645493163588,4.90465860432389,43.303584317658,35.0703257633576,90.93
"IL","Scott",17171,2020,"Soybeans",5,42386.6881792558,5052.27499376648,2074.69545808532,18073.7655483244,19235.3272248063,"N",11.9194851279725,4.89468639142391,42.6401927696955,45.3805853938363,88.31
"IL","Scott",17171,2021,"Corn",1,44702.8643024207,15372.1907097863,6815.03071883918,19221.960731224,10088.498117453,"N",34.3874848953558,15.2451768475832,42.9993939564698,22.5679009049689,90.86
"IL","Scott",17171,2021,"Soybeans",5,46637.4037589998,6585.70129050196,7619.57732751196,10774.957521456,29227.9702031266,"N",14.1210718429649,16.3379105897197,23.1036821370587,62.6706631315993,89
"IL","Shelby",17173,2015,"Corn",1,167218.974059958,70101.4845643122,1215.77018128707,53219.3019193594,43761.2602372656,"N",41.9219678618388,0.727052769054272,31.8261143620443,26.1700327270125,93.16
"IL","Shelby",17173,2015,"Soybeans",5,155373.413955683,16856.1659728891,932.409190374908,64290.0551240536,73998.2196029925,"N",10.8488096796901,0.60010858140818,41.3777708085831,47.6260498621076,93.15
"IL","Shelby",17173,2016,"Corn",1,169283.810347745,42303.3132689702,3218.694035256,67117.6131988493,59653.1978070912,"N",24.9895800325325,1.90135963305889,39.6479811394695,35.2385722441802,96.18
"IL","Shelby",17173,2016,"Soybeans",5,153106.997349368,33118.5285328062,3148.43454987782,49157.0950326686,70476.6723462219,"N",21.630969913958,2.05636228545032,32.1063673664106,46.0309937274809,92.29
"IL","Shelby",17173,2017,"Corn",1,156631.79329876,54634.4001762458,5050.93522673042,45984.5102362172,55441.4843312808,"N",34.880785711261,3.22471901799416,29.3583500946747,35.3960605083104,94.47
"IL","Shelby",17173,2017,"Soybeans",5,166731.706878395,29906.8952814903,7587.38224882584,63561.060593185,71827.1692442042,"N",17.9371373576249,4.55065349649402,38.1217596719879,43.0794901515589,94.31
"IL","Shelby",17173,2018,"Corn",1,158785.051597408,88252.4252021357,9501.0253879786,28694.6184121814,41704.1990070388,"N",55.5798069870554,5.98357672362509,18.0713600704273,26.2645624304597,94.68
"IL","Shelby",17173,2018,"Soybeans",5,163263.938612308,42248.0329745584,6110.10047644411,31125.0675604859,89429.1139177424,"N",25.8771369438061,3.74246788873161,19.0642635630618,54.7757910766221,93.94
"IL","Shelby",17173,2019,"Corn",1,154767.252090364,16044.0917113235,9484.60545262728,83344.2682573649,54932.6387978678,"N",10.3665933811087,6.12830254755024,53.8513588189203,35.4937094610908,93.63
"IL","Shelby",17173,2019,"Soybeans",5,163863.600206116,9438.38299349007,11451.5235492299,67263.9387059223,86506.9895651542,"N",5.75990212690188,6.98844864559645,41.0487372554456,52.7920718550925,93.64
"IL","Shelby",17173,2020,"Corn",1,163799.027368844,26380.6636972352,8626.7105522547,83712.3753236479,53432.363682686,"N",16.1055069257713,5.26664333166582,51.1067597093502,32.6206843477566,95.45
"IL","Shelby",17173,2020,"Soybeans",5,160196.836437835,16464.348730486,5153.14298642128,32711.7932011423,110718.484657368,"N",10.2775741997097,3.21675702280237,20.4197498081282,69.1140269179615,94.4
"IL","Shelby",17173,2021,"Corn",1,152948.990576303,21893.3948241381,2640.37295388687,69961.9563112253,61005.2709040406,"N",14.3141806569923,1.7263094996169,45.7420189879074,39.8860238790568,94.18
"IL","Shelby",17173,2021,"Soybeans",5,167024.526342942,14632.2393055302,1740.38648471284,30629.1032100013,121763.183827411,"N",8.76053333358159,1.041994563804,18.3380871544053,72.9013795120134,93.36
"IL","St. Clair",17163,2015,"Corn",1,80761.3661928344,19480.3708485057,8144.02734975681,41078.6591694753,20112.8379034265,"S",24.1209030590101,10.0840633754403,50.8642450047112,24.9040337621369,96.37
"IL","St. Clair",17163,2015,"Soybeans",5,83812.5927693607,3994.59367144366,11046.7676733105,58911.6344770117,20516.9935087228,"S",4.76610201337663,13.1803196969571,70.2897172494441,24.4796072174767,80.98
"IL","St. Clair",17163,2016,"Corn",1,90799.7978947267,4840.83271958297,5184.46360139671,44956.5491936268,40942.9726742647,"S",5.33132543444142,5.70977438452845,49.5117282592957,45.0914799631316,95.88
"IL","St. Clair",17163,2016,"Soybeans",5,84371.968609,3875.49353849302,7464.31431865615,47252.0144515474,33115.4014826033,"S",4.5933425548632,8.8469125963477,56.0043996016314,39.2492933714372,81.28
