Year,Crop,FIPS,State,County,Total transects,Avg. soil loss (ton/ac),Avg. soil loss if all fields conventionally tilled (ton/ac),No till no.  transects,No-till % acres,No-till avg. soil loss (ton/ac),Mulch till no.  transects,Mulch till % acres,Mulch till avg. soil loss (ton/ac),Reduced till no.  transects,Reduced till % acres,Reduced till avg. soil loss (ton/ac),Conventional till no.  transects,Conventional till % acres,Conventional till avg. soil loss (ton/ac)
2015,soybean,55,illinois,franklin,181,3.7,6.5,0,0,0,71,39.2,1.3,54,29.8,2.8,56,30.9,7.5
2018,corn,55,illinois,franklin,95,8.43,10.54,8,8.4,2.55,5,5.3,3.45,27,28.4,5.42,55,57.9,11.21
2018,soybean,55,illinois,franklin,263,3.42,8.54,141,53.6,2.01,66,25.1,2.36,33,12.5,6.74,23,8.7,10.39
2017,corn,55,illinois,franklin,137,7.16,9.24,9,6.6,2.48,8,5.8,2.79,41,29.9,5.89,79,57.7,8.8
2017,soybean,55,illinois,franklin,258,4.64,8.77,58,22.5,2.38,80,31,2.37,64,24.8,4.66,56,21.7,10.21
2015,corn,57,illinois,fulton,314,4.4,7.7,39,12.4,1.7,72,22.9,1.6,147,46.8,5.2,56,17.8,7.6
2015,soybean,57,illinois,fulton,247,1.2,4.7,147,59.5,0.5,55,22.3,1.5,35,14.2,2.4,10,4,5.2
2018,corn,57,illinois,fulton,303,3.66,6.94,31,10.2,1.13,52,17.2,1.86,219,72.3,4.44,1,0.3,4.33
2018,soybean,57,illinois,fulton,257,1.06,5.28,167,65,0.68,52,20.2,1.27,35,13.6,2.26,3,1.2,4.57
2017,corn,57,illinois,fulton,300,4.08,7.47,19,6.3,1.52,43,14.3,1.74,233,77.7,4.72,5,1.7,4.24
2017,soybean,57,illinois,fulton,259,1.27,4.72,138,53.3,0.65,67,25.9,1.5,52,20.1,2.46,2,0.8,5.3
2015,corn,59,illinois,gallatin,242,5,6,9,3.7,1.9,6,2.5,4.5,122,50.4,4.7,105,43.4,5.8
2015,soybean,59,illinois,gallatin,188,2.6,4.9,36,19.1,0.8,8,4.3,1.5,118,62.8,2.6,26,13.8,5.7
2018,corn,59,illinois,gallatin,181,4.81,5.86,9,5,1.91,25,13.8,5.17,11,6.1,4.1,136,75.1,5
2018,soybean,59,illinois,gallatin,243,2.39,4.48,74,30.5,0.55,27,11.1,1.72,32,13.2,2.34,110,45.3,3.8
2017,corn,59,illinois,gallatin,197,4.14,6,55,27.9,1.71,1,0.5,0.83,71,36,4.26,70,35.5,5.98
2017,soybean,59,illinois,gallatin,226,2.59,4.93,34,15,0.65,4,1.8,1.26,160,70.8,2.95,28,12.4,3.1
2015,corn,61,illinois,greene,314,4.9,6.3,41,13.1,1.1,45,14.3,2.2,0,0,0,228,72.6,6.1
2015,soybean,61,illinois,greene,278,1.3,5.5,171,61.5,0.6,88,31.7,2,2,0.7,4.9,17,6.1,4.4
2018,corn,61,illinois,greene,318,5.27,5.99,38,11.9,1.48,6,1.9,1.71,0,0,NA,274,86.2,5.88
2018,soybean,61,illinois,greene,302,1.5,4.56,152,50.3,0.75,98,32.5,1.14,10,3.3,3.77,42,13.9,4.49
2017,corn,61,illinois,greene,334,5.92,7.02,51,15.3,2.4,0,0,NA,11,3.3,2.19,272,81.4,6.73
2017,soybean,61,illinois,greene,289,1.82,3.71,145,50.2,0.59,15,5.2,1.56,24,8.3,1.79,105,36.3,3.56
2015,corn,63,illinois,grundy,263,1.6,2.4,45,17.1,0.4,34,12.9,0.7,65,24.7,1.6,119,45.2,2.4
2015,soybean,63,illinois,grundy,206,0.7,1.8,107,51.9,0.2,40,19.4,0.6,50,24.3,1.2,9,4.4,4.1
2018,corn,63,illinois,grundy,221,1.95,2.32,25,11.3,0.52,21,9.5,0.71,21,9.5,1.45,154,69.7,2.42
2018,soybean,63,illinois,grundy,243,0.76,2,116,47.7,0.23,75,30.9,0.68,39,16,1.36,13,5.3,4.1
2017,corn,63,illinois,grundy,237,1.93,2.36,29,12.2,0.39,17,7.2,0.75,28,11.8,1.69,163,68.8,2.37
2017,soybean,63,illinois,grundy,232,0.79,1.82,101,43.5,0.18,51,22,0.64,53,22.8,1.13,27,11.6,2.71
2015,corn,65,illinois,hamilton,158,3.1,5,38,24.1,1.2,13,8.2,1.7,10,6.3,2.9,97,61.4,4.1
2015,soybean,65,illinois,hamilton,208,1.8,5.8,104,50,1.1,54,26,1.9,17,8.2,2.8,33,15.9,3.4
2018,corn,65,illinois,hamilton,164,6.89,10.16,45,27.4,2.08,3,1.8,4.73,13,7.9,9.55,103,62.8,8.73
2018,soybean,65,illinois,hamilton,211,2.4,7.04,120,56.9,1.82,16,7.6,1.56,31,14.7,3.1,44,20.9,3.82
2017,corn,65,illinois,hamilton,167,7.23,10.47,48,28.7,2.57,0,0,NA,2,1.2,6.51,117,70.1,9.16
2017,soybean,65,illinois,hamilton,200,2.47,6.09,91,45.5,1.06,8,4,1.97,23,11.5,3.21,78,39,3.94
2015,corn,67,illinois,hancock,261,3.6,4.9,4,1.5,0.7,32,12.3,1.5,77,29.5,3.3,148,56.7,4.3
2015,soybean,67,illinois,hancock,240,2,6.4,59,24.6,0.8,94,39.2,1.5,74,30.8,3.2,13,5.4,4.3
2018,corn,67,illinois,hancock,254,3.43,5.99,11,4.3,1.29,66,26,1.24,115,45.3,4.02,62,24.4,5.04
2018,soybean,67,illinois,hancock,244,1.02,4.32,127,52,0.71,67,27.5,1.07,40,16.4,1.78,10,4.1,1.49
2017,corn,67,illinois,hancock,244,3.38,6.61,50,20.5,1.94,32,13.1,1.39,93,38.1,3.95,69,28.3,4.58
2017,soybean,67,illinois,hancock,254,0.9,3.85,109,42.9,0.39,81,31.9,1,49,19.3,1.49,15,5.9,2.1
2015,corn,69,illinois,hardin,12,3.5,6.7,5,41.7,1.3,2,16.7,2.2,0,0,0,5,41.7,6.2
2015,soybean,69,illinois,hardin,29,4.6,11.7,17,58.6,1,0,0,0,4,13.8,7.9,8,27.6,10.7
2018,corn,69,illinois,hardin,9,12.36,12.8,0,0,NA,0,0,NA,1,11.1,15,8,88.9,12.03
