"site_name","system","management","climate_scenario","year","NO3.yr"
"h_1","hops-a","nt-bc","rcp60",2043,0.712884
"h_1","hops-a","nt-bc","rcp60",2044,1.528023
"h_1","hops-a","nt-bc","rcp60",2045,0.469438
"h_1","hops-a","nt-bc","rcp60",2046,0.910357
"h_1","hops-a","nt-bc","rcp60",2047,1.056138
"h_1","hops-a","nt-bc","rcp60",2048,0.751454
"h_1","hops-a","nt-bc","rcp60",2049,0.828625
"h_1","hops-a","nt-bc","rcp60",2050,1.579305
"h_1","hops-a","nt-bc","rcp60",2051,0.56071
"h_1","hops-a","nt-bc","rcp60",2052,0.792264
"h_1","hops-a","nt-bc","rcp60",2053,0.815353
"h_1","hops-a","nt-bc","rcp60",2054,0.45381
"h_1","hops-a","nt-bc","rcp60",2055,1.132466
"h_1","hops-a","nt-bc","rcp60",2056,0.600629
"h_1","hops-a","nt-bc","rcp60",2057,2.63267
"h_1","hops-a","nt-bc","rcp60",2058,1.403613
"h_1","hops-a","nt-bc","rcp60",2059,3.644297
"h_1","hops-a","nt-bc","rcp60",2060,1.96229
"h_1","hops-a","nt-bc","rcp60",2061,1.2749
"h_1","hops-a","nt-bc","rcp60",2062,0.6831
"h_1","hops-a","nt-bc","rcp60",2063,0.820399
"h_1","hops-a","nt-bc","rcp60",2064,2.795011
"h_1","hops-a","nt-bc","rcp60",2065,1.175038
"h_1","hops-a","nt-bc","rcp60",2066,0.897291
"h_1","hops-a","nt-bc","rcp60",2067,2.267969
"h_1","hops-a","nt-bc","rcp60",2068,1.140232
"h_1","hops-a","nt-bc","rcp60",2069,0.417236
"h_1","hops-a","nt-bc","rcp60",2070,2.664327
"h_1","hops-a","nt-bc","rcp60",2071,0.362779
"h_1","hops-a","nt-bc","rcp60",2072,0.82053
"h_1","hops-a","nt-bc","rcp60",2073,7.471968
"h_1","hops-a","nt-nc","rcp26",2013,9.585329
"h_1","hops-a","nt-nc","rcp26",2014,10.786367
"h_1","hops-a","nt-nc","rcp26",2015,11.909968
"h_1","hops-a","nt-nc","rcp26",2016,14.176234
"h_1","hops-a","nt-nc","rcp26",2017,14.973761
"h_1","hops-a","nt-nc","rcp26",2018,13.13474
"h_1","hops-a","nt-nc","rcp26",2019,13.286129
"h_1","hops-a","nt-nc","rcp26",2020,17.682837
"h_1","hops-a","nt-nc","rcp26",2021,3.834542
"h_1","hops-a","nt-nc","rcp26",2022,21.30683
"h_1","hops-a","nt-nc","rcp26",2023,8.380336
"h_1","hops-a","nt-nc","rcp26",2024,19.387555
"h_1","hops-a","nt-nc","rcp26",2025,12.774572
"h_1","hops-a","nt-nc","rcp26",2026,11.520283
"h_1","hops-a","nt-nc","rcp26",2027,12.15871
"h_1","hops-a","nt-nc","rcp26",2028,9.095623
"h_1","hops-a","nt-nc","rcp26",2029,11.834552
"h_1","hops-a","nt-nc","rcp26",2030,12.307921
"h_1","hops-a","nt-nc","rcp26",2031,7.60463
"h_1","hops-a","nt-nc","rcp26",2032,11.193181
"h_1","hops-a","nt-nc","rcp26",2033,12.427304
"h_1","hops-a","nt-nc","rcp26",2034,11.228295
"h_1","hops-a","nt-nc","rcp26",2035,11.359376
"h_1","hops-a","nt-nc","rcp26",2036,7.960807
"h_1","hops-a","nt-nc","rcp26",2037,8.853077
"h_1","hops-a","nt-nc","rcp26",2038,8.282383
"h_1","hops-a","nt-nc","rcp26",2039,11.188185
"h_1","hops-a","nt-nc","rcp26",2040,9.190324
"h_1","hops-a","nt-nc","rcp26",2041,7.069424
"h_1","hops-a","nt-nc","rcp26",2042,8.697131
"h_1","hops-a","nt-nc","rcp26",2043,8.576614
"h_1","hops-a","nt-nc","rcp26",2044,8.278012
"h_1","hops-a","nt-nc","rcp26",2045,7.130659
"h_1","hops-a","nt-nc","rcp26",2046,9.778743
"h_1","hops-a","nt-nc","rcp26",2047,2.088999
"h_1","hops-a","nt-nc","rcp26",2048,13.502016
"h_1","hops-a","nt-nc","rcp26",2049,5.604425
"h_1","hops-a","nt-nc","rcp26",2050,7.711021
"h_1","hops-a","nt-nc","rcp26",2051,7.461983
"h_1","hops-a","nt-nc","rcp26",2052,7.208653
"h_1","hops-a","nt-nc","rcp26",2053,4.952682
"h_1","hops-a","nt-nc","rcp26",2054,6.964862
"h_1","hops-a","nt-nc","rcp26",2055,8.004082
"h_1","hops-a","nt-nc","rcp26",2056,6.257503
"h_1","hops-a","nt-nc","rcp26",2057,8.394256
"h_1","hops-a","nt-nc","rcp26",2058,6.696725
"h_1","hops-a","nt-nc","rcp26",2059,3.396058
