"site_name","crop_system_name","management_name","climate_scenario","Year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"v_8","grape-c","cn","rcp60",2050,70.416274,266.636616,667.959165,471.632136,767.294766363096
"v_8","grape-c","cn","rcp60",2051,70.513947,225.299292,627.856246,316.650947,672.136055154478
"v_8","grape-c","cn","rcp60",2052,71.10551,222.448899,485.933803,321.7204,500.944145990472
"v_8","grape-c","cn","rcp60",2053,72.332312,197.771378,860.897388,471.446201,893.737969720415
"v_8","grape-c","cn","rcp60",2054,71.708494,207.485251,380.059158,211.296129,360.468214401971
"v_8","grape-c","cn","rcp60",2055,72.438576,187.299643,489.219754,220.575744,421.436935481267
"v_8","grape-c","cn","rcp60",2056,71.187645,194.698797,562.23627,360.127342,602.982818467232
"v_8","grape-c","cn","rcp60",2057,72.119989,199.765725,239.886807,134.708677,344.006195115643
"v_8","grape-c","cn","rcp60",2058,74.005845,218.017702,244.544181,106.287747,186.972080190394
"v_8","grape-c","cn","rcp60",2059,73.926493,230.382692,707.880877,512.31743,928.803535138036
"v_8","grape-c","cn","rcp60",2060,71.513234,191.915224,230.154445,137.39405,474.601023411023
"v_8","grape-c","cn","rcp60",2061,73.883624,189.385928,180.70729,119.702227,204.048264044183
"v_8","grape-c","cn","rcp60",2062,74.068113,170.219902,730.817863,473.972519,1018.27718554116
"v_8","grape-c","cn","rcp60",2063,75.468655,210.394797,186.267141,80.502336,125.258408806389
"v_8","grape-c","cn","rcp60",2064,72.444373,216.126522,522.440717,309.147822,467.526960022655
"v_8","grape-c","cn","rcp60",2065,76.000019,204.672073,292.928254,153.199784,233.692587648909
"v_8","grape-c","cn","rcp60",2066,74.232333,202.165661,153.148201,78.379179,127.442184543108
"v_8","grape-c","cn","rcp60",2067,71.787097,287.998784,499.800711,283.054655,487.60143446183
"v_8","grape-c","cn","rcp60",2068,75.485891,143.621223,665.509143,392.883344,540.021392705646
"v_8","grape-c","cn","rcp60",2069,72.606536,195.243987,265.386516,202.208108,536.590224876841
"v_8","grape-c","cn","rcp60",2070,75.919203,221.02461,744.993979,538.95643,1040.84073050101
"v_8","grape-c","cn","rcp60",2071,76.600502,161.456097,974.10122,755.660521,1102.37981768513
"v_8","grape-c","cn","rcp60",2072,76.140003,202.086954,634.135064,388.693512,697.541708243842
"v_8","grape-c","rn","rcp26",2014,61.571083,164.208588,93.077782,236.968026,314.878885600385
"v_8","grape-c","rn","rcp26",2015,61.983795,176.645827,155.131376,52.548637,91.5244397288542
"v_8","grape-c","rn","rcp26",2016,64.917953,199.336348,233.096343,92.75291,214.398402021034
"v_8","grape-c","rn","rcp26",2017,65.383212,184.31035,519.79037,411.184202,832.170983857199
"v_8","grape-c","rn","rcp26",2018,64.733632,222.108119,852.651226,623.830018,1018.68725059382
"v_8","grape-c","rn","rcp26",2019,63.897855,212.548067,147.078666,89.643781,310.033767704092
"v_8","grape-c","rn","rcp26",2020,65.150348,187.069852,278.089185,226.778241,661.561865336898
"v_8","grape-c","rn","rcp26",2021,61.025608,201.543317,385.06972,301.242461,292.570926484657
"v_8","grape-c","rn","rcp26",2022,64.987358,223.334245,495.076562,344.811178,669.392338709908
"v_8","grape-c","rn","rcp26",2023,66.993382,170.539726,794.599189,625.973402,1218.42585234234
"v_8","grape-c","rn","rcp26",2024,65.701606,180.925599,851.937501,750.073403,1147.30083354983
"v_8","grape-c","rn","rcp26",2025,65.908654,191.622501,570.533881,403.157368,670.838335709645
"v_8","grape-c","rn","rcp26",2026,65.522853,155.690861,354.39129,226.055996,838.80799681027
"v_8","grape-c","rn","rcp26",2027,65.229512,253.273894,455.277835,232.573027,381.112872960699
"v_8","grape-c","rn","rcp26",2028,66.220335,215.109962,519.523636,375.288046,566.932134086344
"v_8","grape-c","rn","rcp26",2029,64.962892,167.399381,301.846614,183.776541,325.913867853957
"v_8","grape-c","rn","rcp26",2030,67.755984,173.859498,493.400914,277.259434,402.456826774725
