"site_name","crop","management","climate_scenario","year","trans.yr","evap.yr","leach.yr","run.yr","sed.yr"
"a_10","almond-c","cn","rcp26",2038,102.040417,251.172696,242.038643,101.348917,512.879282710257
"a_10","almond-c","cn","rcp26",2039,83.843184,226.253964,947.72455,441.607805,2987.49348931218
"a_10","almond-c","cn","rcp26",2040,89.544358,197.799697,411.575857,151.162997,894.896244528191
"a_10","almond-c","cn","rcp26",2041,88.752186,243.785181,337.829686,68.92506,434.433133895079
"a_10","almond-c","cn","rcp26",2042,85.527984,247.340691,332.296153,82.315788,509.477511274756
"a_10","almond-c","cn","rcp26",2043,95.66914,188.1858,241.590299,75.68003,754.139076697916
"a_10","almond-c","cn","rcp26",2044,107.740056,184.350667,5.130742,0.066895,0.689154334909416
"a_10","almond-c","cn","rcp26",2045,98.570251,177.025995,131.722498,47.599078,239.180539436136
"a_10","almond-c","cn","rcp26",2046,107.877677,166.455522,53.999941,20.516283,233.644400036496
"a_10","almond-c","cn","rcp26",2047,104.933728,166.941026,61.333989,44.326711,324.916426312296
"a_10","almond-c","cn","rcp26",2048,89.273825,172.002537,434.448463,101.110008,496.485962749363
"a_10","almond-c","cn","rcp26",2049,103.079978,157.16831,142.68422,35.608689,199.579235006882
"a_10","almond-c","cn","rcp26",2050,107.155588,185.589643,84.824021,29.478386,248.848904511094
"a_10","almond-c","cn","rcp26",2051,109.064876,204.148042,168.537639,48.37192,139.846919503101
"a_10","almond-c","cn","rcp26",2052,103.871106,206.002183,170.150254,27.015548,212.22844913503
"a_10","almond-c","cn","rcp26",2053,97.249187,219.427393,621.220299,133.943599,783.407354984861
"a_10","almond-c","cn","rcp26",2054,84.980885,203.058119,566.12222,170.543863,1372.53016814135
"a_10","almond-c","cn","rcp26",2055,93.161566,157.443486,342.589518,81.098218,486.952695140037
"a_10","almond-c","cn","rcp26",2056,106.835254,175.504858,15.635153,7.630966,70.1230070857803
"a_10","almond-c","cn","rcp26",2057,113.90505,193.024332,289.715757,58.953789,313.093942167852
"a_10","almond-c","cn","rcp26",2058,79.748352,254.401875,115.025762,12.975049,69.1798567798586
"a_10","almond-c","cn","rcp26",2059,103.992763,173.566487,55.237743,8.969949,35.1004874529102
"a_10","almond-c","cn","rcp26",2060,101.61181,198.425712,127.501597,15.928138,145.438418358528
"a_10","almond-c","cn","rcp26",2061,114.056838,248.782151,86.112838,16.721031,83.4050793951336
"a_10","almond-c","cn","rcp26",2062,88.17207,163.789545,448.701985,96.891898,431.469759480259
"a_10","almond-c","cn","rcp26",2063,111.703894,231.397541,59.27968,13.976485,57.6498292102774
"a_10","almond-c","cn","rcp26",2064,100.971581,214.585989,245.663328,54.289737,460.684007605067
"a_10","almond-c","cn","rcp26",2065,99.339002,250.194616,353.933632,69.505941,571.964287266983
"a_10","almond-c","cn","rcp26",2066,86.737519,216.470852,402.916462,88.702945,704.61426831913
"a_10","almond-c","cn","rcp26",2067,84.60919,240.063263,229.448525,38.696927,364.444776567178
"a_10","almond-c","cn","rcp26",2068,102.473296,176.333667,197.303527,81.14934,335.2514501621
"a_10","almond-c","cn","rcp26",2069,91.753906,186.736309,267.021596,32.192922,253.831143605002
"a_10","almond-c","cn","rcp26",2070,104.730879,177.99519,82.887478,16.571808,43.4621353516208
"a_10","almond-c","cn","rcp26",2071,91.676847,187.571046,200.995682,18.378181,231.533944031959
"a_10","almond-c","cn","rcp26",2072,105.466012,187.562342,242.222427,56.71154,347.21773069872
"a_10","almond-c","cn","rcp60",2014,21.222438,199.961992,36.743868,199.198698,1372.1325561307
"a_10","almond-c","cn","rcp60",2015,31.606895,186.117556,83.727131,65.547247,599.761827680517
"a_10","almond-c","cn","rcp60",2016,36.490437,221.253103,578.670158,236.782646,2179.10496960817
"a_10","almond-c","cn","rcp60",2017,53.10063,243.291363,500.652147,176.596245,1257.94433607611
"a_10","almond-c","cn","rcp60",2018,68.814634,206.358841,451.665315,165.658979,1510.20804106139
"a_10","almond-c","cn","rcp60",2019,75.5103,184.741292,244.057748,88.298993,644.795125067362
"a_10","almond-c","cn","rcp60",2020,94.332972,212.997712,36.300234,16.507464,87.297715783797
"a_10","almond-c","cn","rcp60",2021,98.385206,190.601538,86.400749,33.602855,255.395360287318
"a_10","almond-c","cn","rcp60",2022,84.79854,204.005261,371.444709,98.878191,803.805126190811
